team_abbreviation,game_date,wl,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,over_100
WAS,2024-03-25,W,239,107,39,97,0.402,14,49,0.286,15,18,0.833,S
DAL,2024-03-25,W,240,115,44,92,0.478,12,42,0.286,15,18,0.833,S
DET,2024-03-25,L,241,99,34,88,0.386,10,34,0.294,21,22,0.955,N
CHA,2024-03-25,L,240,92,34,80,0.425,9,28,0.321,15,18,0.833,N
PHI,2024-03-25,L,241,96,34,82,0.415,11,34,0.324,17,20,0.85,N
SAS,2024-03-25,W,240,104,40,91,0.44,8,31,0.258,16,19,0.842,S
POR,2024-03-25,L,240,92,36,87,0.414,7,33,0.212,13,15,0.867,N
BOS,2024-03-25,L,241,118,47,95,0.495,11,38,0.289,13,19,0.684,S
ATL,2024-03-25,W,241,120,46,87,0.529,18,36,0.5,10,17,0.588,S
HOU,2024-03-25,W,240,110,37,93,0.398,12,39,0.308,24,25,0.96,S
PHX,2024-03-25,L,239,102,42,83,0.506,10,28,0.357,8,14,0.571,S
SAC,2024-03-25,W,239,108,38,86,0.442,10,38,0.263,22,28,0.786,S
LAC,2024-03-25,L,240,116,46,85,0.541,6,20,0.3,18,22,0.818,S
NYK,2024-03-25,W,240,124,45,89,0.506,19,46,0.413,15,22,0.682,S
BKN,2024-03-25,W,239,96,37,81,0.457,9,39,0.231,13,18,0.722,N
UTA,2024-03-25,L,241,105,37,87,0.425,13,39,0.333,18,22,0.818,S
CLE,2024-03-25,W,240,115,46,86,0.535,17,41,0.415,6,10,0.6,S
MEM,2024-03-25,L,239,103,37,94,0.394,11,44,0.25,18,27,0.667,S
MIA,2024-03-24,W,239,121,43,83,0.518,15,38,0.395,20,23,0.87,S
CLE,2024-03-24,L,239,84,30,72,0.417,9,29,0.31,15,20,0.75,N
MIN,2024-03-24,W,241,114,40,84,0.476,21,40,0.525,13,18,0.722,S
LAC,2024-03-24,L,239,107,40,83,0.482,10,28,0.357,17,18,0.944,S
IND,2024-03-24,L,240,145,59,107,0.551,18,36,0.5,9,16,0.563,S
NOP,2024-03-24,W,239,114,41,81,0.506,11,34,0.324,21,31,0.677,S
OKC,2024-03-24,L,238,93,33,89,0.371,10,43,0.233,17,22,0.773,N
LAL,2024-03-24,W,239,150,50,89,0.562,12,25,0.48,38,43,0.884,S
DET,2024-03-24,L,240,101,32,79,0.405,11,41,0.268,26,32,0.813,S
PHI,2024-03-24,W,240,121,48,90,0.533,18,37,0.486,7,9,0.778,S
GSW,2024-03-24,L,241,110,38,85,0.447,14,36,0.389,20,26,0.769,S
MIL,2024-03-24,W,240,118,49,92,0.533,11,34,0.324,9,14,0.643,S
NYK,2024-03-23,W,239,105,42,97,0.433,15,40,0.375,6,12,0.5,S
WAS,2024-03-23,W,239,112,44,92,0.478,11,35,0.314,13,19,0.684,S
BKN,2024-03-23,L,240,93,34,76,0.447,12,34,0.353,13,15,0.867,N
POR,2024-03-23,L,239,111,43,93,0.462,10,28,0.357,15,17,0.882,S
SAS,2024-03-23,L,241,106,40,85,0.471,9,33,0.273,17,21,0.81,S
PHX,2024-03-23,W,242,131,56,94,0.596,11,24,0.458,8,10,0.8,S
DEN,2024-03-23,W,240,114,41,91,0.451,8,24,0.333,24,33,0.727,S
UTA,2024-03-23,L,239,119,40,89,0.449,11,37,0.297,28,33,0.848,S
ATL,2024-03-23,W,240,132,50,90,0.556,20,42,0.476,12,14,0.857,S
ORL,2024-03-23,L,241,107,42,88,0.477,10,35,0.286,13,18,0.722,S
CHA,2024-03-23,L,240,91,35,84,0.417,11,39,0.282,10,14,0.714,N
HOU,2024-03-23,W,241,147,54,97,0.557,27,49,0.551,12,14,0.857,S
TOR,2024-03-23,L,240,109,40,94,0.426,8,33,0.242,21,26,0.808,S
BOS,2024-03-23,W,240,124,44,86,0.512,21,48,0.438,15,17,0.882,S
SAC,2024-03-23,W,241,109,38,87,0.437,15,40,0.375,18,21,0.857,S
CHI,2024-03-23,L,241,113,47,82,0.573,9,24,0.375,10,11,0.909,S
MIN,2024-03-22,W,240,104,41,85,0.482,14,27,0.519,8,16,0.5,S
SAS,2024-03-22,L,240,97,37,95,0.389,7,38,0.184,16,23,0.696,N
TOR,2024-03-22,L,239,103,40,76,0.526,11,30,0.367,12,17,0.706,S
POR,2024-03-22,L,241,117,45,93,0.484,12,33,0.364,15,25,0.6,S
PHI,2024-03-22,L,240,94,33,96,0.344,8,37,0.216,20,24,0.833,N
OKC,2024-03-22,W,240,123,48,95,0.505,12,32,0.375,15,19,0.789,S
BOS,2024-03-22,W,241,129,47,89,0.528,16,45,0.356,19,27,0.704,S
GSW,2024-03-22,L,240,111,43,106,0.406,14,48,0.292,11,16,0.688,S
MEM,2024-03-22,W,241,99,33,82,0.402,12,34,0.353,21,31,0.677,N
CLE,2024-03-22,L,241,91,34,81,0.42,7,29,0.241,16,19,0.842,N
LAL,2024-03-22,W,239,101,32,73,0.438,12,31,0.387,25,33,0.758,S
IND,2024-03-22,W,240,123,48,99,0.485,15,36,0.417,12,16,0.75,S
MIA,2024-03-22,L,241,88,31,86,0.36,13,47,0.277,13,15,0.867,N
DET,2024-03-22,L,240,102,42,83,0.506,9,31,0.29,9,13,0.692,S
NOP,2024-03-22,W,240,111,42,82,0.512,18,36,0.5,9,12,0.75,S
LAC,2024-03-22,W,240,125,44,77,0.571,14,33,0.424,23,27,0.852,S
HOU,2024-03-21,W,238,127,47,93,0.505,17,45,0.378,16,20,0.8,S
DAL,2024-03-21,W,239,113,43,86,0.5,10,32,0.313,17,28,0.607,S
MIL,2024-03-21,W,239,115,43,91,0.473,16,41,0.39,13,15,0.867,S
NYK,2024-03-21,L,239,100,38,79,0.481,11,31,0.355,13,17,0.765,N
DEN,2024-03-21,W,240,113,45,84,0.536,6,20,0.3,17,20,0.85,S
CHI,2024-03-21,L,240,117,42,93,0.452,12,31,0.387,21,25,0.84,S
UTA,2024-03-21,L,241,97,38,83,0.458,4,30,0.133,17,19,0.895,N
WAS,2024-03-21,W,239,109,41,81,0.506,10,25,0.4,17,23,0.739,S
BKN,2024-03-21,L,239,108,41,92,0.446,13,44,0.295,13,16,0.813,S
ORL,2024-03-21,W,241,121,47,86,0.547,14,36,0.389,13,19,0.684,S
SAC,2024-03-21,L,240,102,37,86,0.43,11,39,0.282,17,19,0.895,S
NOP,2024-03-21,L,241,106,42,78,0.538,6,20,0.3,16,21,0.762,S
PHX,2024-03-21,W,240,128,41,74,0.554,22,41,0.537,24,27,0.889,S
ATL,2024-03-21,L,241,115,40,91,0.44,12,35,0.343,23,29,0.793,S
OKC,2024-03-20,W,240,119,43,88,0.489,10,34,0.294,23,29,0.793,S
MEM,2024-03-20,L,240,116,42,96,0.438,18,49,0.367,14,18,0.778,S
MIA,2024-03-20,W,239,107,38,83,0.458,13,36,0.361,18,19,0.947,S
POR,2024-03-20,L,240,103,39,81,0.481,15,34,0.441,10,15,0.667,S
SAC,2024-03-20,W,239,123,48,93,0.516,12,40,0.3,15,18,0.833,S
LAC,2024-03-20,W,241,116,45,86,0.523,13,31,0.419,13,15,0.867,S
CLE,2024-03-20,L,240,104,35,75,0.467,15,42,0.357,19,22,0.864,S
PHX,2024-03-20,W,240,115,45,90,0.5,19,39,0.487,6,8,0.75,S
MIL,2024-03-20,L,239,119,45,84,0.536,17,35,0.486,12,14,0.857,S
UTA,2024-03-20,L,238,107,40,90,0.444,10,36,0.278,17,18,0.944,S
BOS,2024-03-20,W,238,122,40,85,0.471,18,40,0.45,24,29,0.828,S
IND,2024-03-20,W,240,122,50,88,0.568,11,29,0.379,11,18,0.611,S
DET,2024-03-20,L,240,103,37,90,0.411,5,23,0.217,24,30,0.8,S
GSW,2024-03-20,W,240,137,58,100,0.58,19,39,0.487,2,6,0.333,S
PHI,2024-03-20,L,240,102,41,95,0.432,13,37,0.351,7,18,0.389,S
TOR,2024-03-20,L,239,89,33,80,0.413,10,31,0.323,13,18,0.722,N
CHA,2024-03-19,L,239,92,38,79,0.481,9,29,0.31,7,9,0.778,N
NOP,2024-03-19,W,242,104,42,83,0.506,10,34,0.294,10,13,0.769,S
DEN,2024-03-19,W,241,115,42,81,0.519,14,27,0.519,17,22,0.773,S
WAS,2024-03-19,L,240,114,42,98,0.429,15,39,0.385,15,20,0.75,S
HOU,2024-03-19,W,240,137,47,91,0.516,13,39,0.333,30,36,0.833,S
ORL,2024-03-19,W,240,112,44,81,0.543,12,34,0.353,12,13,0.923,S
BKN,2024-03-19,L,242,91,31,84,0.369,12,40,0.3,17,22,0.773,N
SAS,2024-03-19,L,239,107,39,89,0.438,14,39,0.359,15,21,0.714,S
MIN,2024-03-19,L,241,112,42,88,0.477,12,35,0.343,16,23,0.696,S
DAL,2024-03-19,W,239,113,44,91,0.484,10,30,0.333,15,17,0.882,S
UTA,2024-03-18,L,242,104,39,84,0.464,14,32,0.438,12,14,0.857,S
DET,2024-03-18,L,239,94,36,84,0.429,9,29,0.31,13,15,0.867,N
LAL,2024-03-18,W,239,136,52,90,0.578,15,36,0.417,17,20,0.85,S
PHI,2024-03-18,W,241,98,37,85,0.435,13,36,0.361,11,12,0.917,N
BOS,2024-03-18,W,240,119,43,95,0.453,22,49,0.449,11,13,0.846,S
MIN,2024-03-18,W,240,114,44,91,0.484,16,41,0.39,10,12,0.833,S
MIA,2024-03-18,L,240,91,35,89,0.393,12,33,0.364,9,14,0.643,N
GSW,2024-03-18,L,241,112,42,88,0.477,14,36,0.389,14,18,0.778,S
CHI,2024-03-18,W,241,110,41,93,0.441,11,33,0.333,17,21,0.81,S
SAC,2024-03-18,W,265,121,42,94,0.447,11,35,0.314,26,32,0.813,S
ATL,2024-03-18,L,240,105,42,98,0.429,9,41,0.22,12,15,0.8,S
IND,2024-03-18,L,240,103,42,91,0.462,9,38,0.237,10,16,0.625,S
NYK,2024-03-18,W,240,119,44,91,0.484,14,37,0.378,17,20,0.85,S
CLE,2024-03-18,W,240,108,38,80,0.475,12,32,0.375,20,28,0.714,S
POR,2024-03-18,L,240,107,40,88,0.455,8,28,0.286,19,25,0.76,S
MEM,2024-03-18,L,265,111,37,98,0.378,13,38,0.342,24,30,0.8,S
WAS,2024-03-17,L,239,104,41,89,0.461,10,34,0.294,12,14,0.857,S
BKN,2024-03-17,L,265,115,47,102,0.461,8,31,0.258,13,19,0.684,S
BOS,2024-03-17,W,241,130,43,87,0.494,24,50,0.48,20,24,0.833,S
DAL,2024-03-17,W,240,107,42,100,0.42,9,35,0.257,14,21,0.667,S
SAS,2024-03-17,W,265,122,46,99,0.465,9,37,0.243,21,23,0.913,S
ATL,2024-03-17,W,240,110,41,84,0.488,17,34,0.5,11,12,0.917,S
DEN,2024-03-17,L,241,105,37,84,0.44,12,28,0.429,19,22,0.864,S
PHX,2024-03-17,L,240,129,51,87,0.586,14,33,0.424,13,15,0.867,S
LAC,2024-03-17,L,239,93,28,74,0.378,11,36,0.306,26,29,0.897,N
DET,2024-03-17,L,240,101,38,83,0.458,14,36,0.389,11,14,0.786,S
MIA,2024-03-17,W,241,104,40,89,0.449,12,35,0.343,12,16,0.75,S
TOR,2024-03-17,L,241,96,37,84,0.44,8,31,0.258,14,15,0.933,N
ORL,2024-03-17,W,242,111,43,85,0.506,11,36,0.306,14,20,0.7,S
MIL,2024-03-17,W,239,140,51,94,0.543,24,41,0.585,14,14,1.0,S
WAS,2024-03-16,L,241,98,36,84,0.429,13,32,0.406,13,22,0.591,N
MIN,2024-03-16,W,241,119,44,93,0.473,19,41,0.463,12,15,0.8,S
HOU,2024-03-16,W,240,117,47,98,0.48,15,42,0.357,8,12,0.667,S
NYK,2024-03-16,W,240,98,37,86,0.43,11,39,0.282,13,16,0.813,N
PHI,2024-03-16,W,240,109,36,81,0.444,13,41,0.317,24,25,0.96,S
NOP,2024-03-16,W,240,126,52,97,0.536,13,33,0.394,9,10,0.9,S
CHA,2024-03-16,L,240,98,37,82,0.451,10,31,0.323,14,18,0.778,N
OKC,2024-03-16,W,240,118,45,87,0.517,12,35,0.343,16,21,0.762,S
GSW,2024-03-16,W,241,128,51,97,0.526,14,34,0.412,12,15,0.8,S
CLE,2024-03-16,L,239,103,37,82,0.451,12,38,0.316,17,20,0.85,S
UTA,2024-03-16,L,241,100,38,83,0.458,6,26,0.231,18,21,0.857,N
IND,2024-03-16,W,240,121,50,105,0.476,6,30,0.2,15,16,0.938,S
MEM,2024-03-16,L,240,112,37,81,0.457,18,44,0.409,20,26,0.769,S
CHI,2024-03-16,W,240,127,49,85,0.576,8,24,0.333,21,29,0.724,S
LAL,2024-03-16,L,241,121,47,92,0.511,12,34,0.353,15,18,0.833,S
POR,2024-03-16,L,241,107,42,84,0.5,12,33,0.364,11,12,0.917,S
SAC,2024-03-16,L,239,91,30,85,0.353,10,37,0.27,21,26,0.808,N
BKN,2024-03-16,L,241,100,33,77,0.429,10,25,0.4,24,31,0.774,N
CHA,2024-03-15,L,239,96,35,94,0.372,6,37,0.162,20,27,0.741,N
ATL,2024-03-15,L,241,122,41,92,0.446,20,39,0.513,20,27,0.741,S
TOR,2024-03-15,L,241,103,38,81,0.469,14,34,0.412,13,20,0.65,S
MIA,2024-03-15,W,239,108,43,91,0.473,7,34,0.206,15,21,0.714,S
UTA,2024-03-15,W,239,124,46,90,0.511,14,36,0.389,18,20,0.9,S
SAS,2024-03-15,L,240,106,37,81,0.457,11,29,0.379,21,27,0.778,S
DET,2024-03-15,L,240,95,36,84,0.429,10,38,0.263,13,15,0.867,N
NOP,2024-03-15,W,240,112,42,87,0.483,13,35,0.371,15,20,0.75,S
PHX,2024-03-15,W,240,107,40,87,0.46,11,38,0.289,16,20,0.8,S
LAC,2024-03-15,L,240,104,37,77,0.481,12,33,0.364,18,19,0.947,S
ORL,2024-03-15,W,239,113,40,80,0.5,14,31,0.452,19,22,0.864,S
DEN,2024-03-15,W,240,117,49,89,0.551,10,25,0.4,9,12,0.75,S
LAC,2024-03-14,W,240,126,48,80,0.6,20,40,0.5,10,14,0.714,S
WAS,2024-03-14,L,242,119,46,93,0.495,12,38,0.316,15,19,0.789,S
DAL,2024-03-14,L,241,119,43,84,0.512,12,29,0.414,21,26,0.808,S
CHI,2024-03-14,L,239,111,41,86,0.477,16,35,0.457,13,16,0.813,S
POR,2024-03-14,L,240,93,34,84,0.405,11,33,0.333,14,16,0.875,N
MIL,2024-03-14,W,241,114,39,72,0.542,16,36,0.444,20,24,0.833,S
HOU,2024-03-14,W,241,135,51,87,0.586,12,28,0.429,21,24,0.875,S
OKC,2024-03-14,W,239,126,45,86,0.523,16,39,0.41,20,23,0.87,S
PHI,2024-03-14,L,240,105,39,79,0.494,17,35,0.486,10,14,0.714,S
PHX,2024-03-14,L,241,112,47,99,0.475,11,31,0.355,7,10,0.7,S
BOS,2024-03-14,W,240,127,47,89,0.528,25,50,0.5,8,11,0.727,S
NYK,2024-03-14,W,241,105,38,87,0.437,6,29,0.207,23,26,0.885,S
ATL,2024-03-13,L,240,102,38,88,0.432,14,39,0.359,12,18,0.667,S
CLE,2024-03-13,W,242,116,47,92,0.511,20,45,0.444,2,3,0.667,S
POR,2024-03-13,W,240,106,38,82,0.463,10,30,0.333,20,24,0.833,S
BKN,2024-03-13,L,240,106,38,81,0.469,7,26,0.269,23,27,0.852,S
DET,2024-03-13,W,240,113,39,88,0.443,11,30,0.367,24,31,0.774,S
SAC,2024-03-13,W,239,120,46,88,0.523,19,41,0.463,9,12,0.75,S
IND,2024-03-13,L,266,129,46,99,0.465,14,45,0.311,23,28,0.821,S
MEM,2024-03-13,L,239,98,36,85,0.424,16,40,0.4,10,11,0.909,N
TOR,2024-03-13,L,240,104,41,93,0.441,9,36,0.25,13,19,0.684,S
MIA,2024-03-13,L,241,88,34,80,0.425,5,21,0.238,15,18,0.833,N
DEN,2024-03-13,W,241,100,40,82,0.488,11,33,0.333,9,13,0.692,N
NOP,2024-03-13,L,242,95,35,80,0.438,4,22,0.182,21,26,0.808,N
CHA,2024-03-13,W,241,110,44,82,0.537,13,36,0.361,9,13,0.692,S
CHI,2024-03-13,W,265,132,48,92,0.522,10,28,0.357,26,32,0.813,S
LAL,2024-03-13,L,240,107,38,78,0.487,14,32,0.438,17,22,0.773,S
ORL,2024-03-13,W,242,114,40,77,0.519,14,32,0.438,20,26,0.769,S
GSW,2024-03-13,L,241,99,37,92,0.402,9,28,0.321,16,19,0.842,N
DAL,2024-03-13,W,241,109,44,82,0.537,6,27,0.222,15,19,0.789,S
MIN,2024-03-12,W,242,118,48,94,0.511,12,33,0.364,10,14,0.714,S
OKC,2024-03-12,L,239,111,43,99,0.434,14,37,0.378,11,15,0.733,S
IND,2024-03-12,W,239,121,48,89,0.539,9,28,0.321,16,19,0.842,S
MIL,2024-03-12,L,242,94,30,82,0.366,7,39,0.179,27,35,0.771,N
MEM,2024-03-12,W,241,109,42,94,0.447,8,33,0.242,17,21,0.81,S
BOS,2024-03-12,W,241,123,43,92,0.467,20,49,0.408,17,19,0.895,S
SAS,2024-03-12,L,238,101,39,82,0.476,11,36,0.306,12,14,0.857,S
HOU,2024-03-12,W,240,103,37,80,0.463,10,32,0.313,19,21,0.905,S
UTA,2024-03-12,L,239,107,41,86,0.477,15,32,0.469,10,11,0.909,S
LAC,2024-03-12,L,240,100,34,72,0.472,11,30,0.367,21,25,0.84,N
NYK,2024-03-12,W,240,106,40,79,0.506,14,40,0.35,12,15,0.8,S
WAS,2024-03-12,L,240,97,37,82,0.451,11,36,0.306,12,16,0.75,N
SAC,2024-03-12,W,240,129,49,92,0.533,18,40,0.45,13,16,0.813,S
PHI,2024-03-12,L,240,79,30,80,0.375,8,33,0.242,11,16,0.688,N
POR,2024-03-11,L,241,99,39,87,0.448,10,28,0.357,11,11,1.0,N
TOR,2024-03-11,L,240,119,47,93,0.505,11,30,0.367,14,17,0.824,S
GSW,2024-03-11,W,240,112,46,93,0.495,12,27,0.444,8,12,0.667,S
DET,2024-03-11,W,240,114,41,86,0.477,10,42,0.238,22,24,0.917,S
CLE,2024-03-11,L,239,111,40,84,0.476,15,46,0.326,16,19,0.842,S
CHI,2024-03-11,L,238,92,35,89,0.393,7,34,0.206,15,22,0.682,N
CHA,2024-03-11,L,240,97,34,88,0.386,13,40,0.325,16,23,0.696,N
DAL,2024-03-11,W,239,127,51,93,0.548,13,41,0.317,12,15,0.8,S
DEN,2024-03-11,W,239,125,52,95,0.547,10,29,0.345,11,18,0.611,S
BOS,2024-03-11,W,241,121,49,100,0.49,15,40,0.375,8,12,0.667,S
SAS,2024-03-11,L,240,102,39,93,0.419,14,37,0.378,10,15,0.667,S
PHX,2024-03-11,W,240,117,46,84,0.548,12,32,0.375,13,19,0.684,S
LAL,2024-03-10,W,240,120,44,83,0.53,10,24,0.417,22,29,0.759,S
MIL,2024-03-10,W,240,124,43,87,0.494,17,38,0.447,21,27,0.778,S
IND,2024-03-10,W,239,111,38,78,0.487,8,23,0.348,27,33,0.818,S
LAC,2024-03-10,L,240,117,47,104,0.452,14,47,0.298,9,10,0.9,S
BKN,2024-03-10,W,241,120,42,79,0.532,18,35,0.514,18,20,0.9,S
ORL,2024-03-10,L,240,97,33,88,0.375,9,36,0.25,22,29,0.759,N
ATL,2024-03-10,L,240,103,38,91,0.418,17,46,0.37,10,13,0.769,S
NYK,2024-03-10,L,240,73,26,80,0.325,9,40,0.225,12,16,0.75,N
CLE,2024-03-10,L,241,101,37,76,0.487,14,32,0.438,13,20,0.65,S
SAC,2024-03-10,L,240,104,39,86,0.453,6,32,0.188,20,23,0.87,S
HOU,2024-03-10,W,240,112,39,84,0.464,12,29,0.414,22,27,0.815,S
PHI,2024-03-10,W,240,79,31,80,0.388,9,30,0.3,8,14,0.571,N
OKC,2024-03-10,W,242,124,49,93,0.527,21,47,0.447,5,5,1.0,S
MEM,2024-03-10,L,240,93,32,78,0.41,11,33,0.333,18,27,0.667,N
MIA,2024-03-10,L,240,108,43,95,0.453,10,33,0.303,12,18,0.667,S
WAS,2024-03-10,W,239,110,39,81,0.481,16,39,0.41,16,22,0.727,S
MIN,2024-03-10,L,239,109,41,97,0.423,16,46,0.348,11,13,0.846,S
NOP,2024-03-10,W,240,116,43,75,0.573,14,27,0.519,16,22,0.727,S
DEN,2024-03-09,W,239,142,55,83,0.663,19,32,0.594,13,16,0.813,S
BOS,2024-03-09,W,240,117,46,94,0.489,15,39,0.385,10,13,0.769,S
CHA,2024-03-09,W,241,110,44,81,0.543,11,30,0.367,11,15,0.733,S
SAS,2024-03-09,W,239,126,44,86,0.512,17,33,0.515,21,28,0.75,S
DAL,2024-03-09,W,240,142,51,92,0.554,14,38,0.368,26,32,0.813,S
TOR,2024-03-09,L,265,118,43,91,0.473,16,43,0.372,16,19,0.842,S
GSW,2024-03-09,L,241,113,41,88,0.466,10,30,0.333,21,29,0.724,S
BKN,2024-03-09,L,239,99,36,90,0.4,14,42,0.333,13,17,0.765,N
DET,2024-03-09,L,239,124,45,99,0.455,13,37,0.351,21,25,0.84,S
POR,2024-03-09,W,265,128,49,103,0.476,16,40,0.4,14,15,0.933,S
CHI,2024-03-09,L,239,102,37,86,0.43,13,35,0.371,15,19,0.789,S
UTA,2024-03-09,L,240,121,47,94,0.5,8,26,0.308,19,25,0.76,S
PHX,2024-03-09,L,239,107,44,87,0.506,9,31,0.29,10,16,0.625,S
LAC,2024-03-09,W,240,112,42,84,0.5,12,35,0.343,16,18,0.889,S
ORL,2024-03-08,L,239,74,27,79,0.342,6,26,0.231,14,20,0.7,N
LAL,2024-03-08,W,239,123,47,90,0.522,16,34,0.471,13,19,0.684,S
MEM,2024-03-08,L,241,92,30,74,0.405,10,26,0.385,22,30,0.733,N
NOP,2024-03-08,W,241,103,35,79,0.443,11,31,0.355,22,23,0.957,S
WAS,2024-03-08,W,240,112,43,87,0.494,6,33,0.182,20,23,0.87,S
POR,2024-03-08,L,237,107,37,89,0.416,16,35,0.457,17,25,0.68,S
NYK,2024-03-08,W,239,98,38,79,0.481,16,33,0.485,6,8,0.75,N
ATL,2024-03-08,W,240,99,37,87,0.425,15,35,0.429,10,15,0.667,N
CHA,2024-03-08,L,240,100,40,100,0.4,9,42,0.214,11,15,0.733,N
OKC,2024-03-08,W,238,107,42,89,0.472,12,38,0.316,11,13,0.846,S
MIA,2024-03-08,L,240,100,38,82,0.463,11,29,0.379,13,18,0.722,N
MIL,2024-03-08,L,240,122,46,93,0.495,16,41,0.39,14,17,0.824,S
MIN,2024-03-08,L,265,104,39,94,0.415,8,30,0.267,18,22,0.818,S
HOU,2024-03-08,W,239,123,45,94,0.479,14,37,0.378,19,26,0.731,S
CLE,2024-03-08,W,265,113,38,88,0.432,11,34,0.324,26,36,0.722,S
PHI,2024-03-08,L,239,95,35,88,0.398,9,37,0.243,16,20,0.8,N
IND,2024-03-07,L,241,111,42,82,0.512,10,26,0.385,17,23,0.739,S
CHI,2024-03-07,W,240,125,46,87,0.529,16,36,0.444,17,23,0.739,S
GSW,2024-03-07,L,241,122,44,97,0.454,11,42,0.262,23,28,0.821,S
TOR,2024-03-07,L,241,113,43,94,0.457,16,44,0.364,11,15,0.733,S
DEN,2024-03-07,W,240,115,45,90,0.5,4,21,0.19,21,22,0.955,S
BKN,2024-03-07,L,240,112,41,84,0.488,17,41,0.415,13,18,0.722,S
PHX,2024-03-07,W,240,120,44,86,0.512,15,35,0.429,17,20,0.85,S
BOS,2024-03-07,L,240,109,41,91,0.451,11,38,0.289,16,25,0.64,S
DAL,2024-03-07,W,240,114,40,87,0.46,16,41,0.39,18,23,0.783,S
SAS,2024-03-07,L,240,129,46,91,0.505,16,33,0.485,21,21,1.0,S
MIA,2024-03-07,L,241,108,40,82,0.488,17,38,0.447,11,17,0.647,S
SAC,2024-03-07,W,238,131,52,102,0.51,10,32,0.313,17,18,0.944,S
DET,2024-03-07,W,240,118,43,82,0.524,12,30,0.4,20,21,0.952,S
MIN,2024-03-07,W,241,113,46,98,0.469,7,25,0.28,14,19,0.737,S
CHI,2024-03-06,W,239,119,45,90,0.5,17,39,0.436,12,15,0.8,S
LAL,2024-03-06,L,240,120,42,81,0.519,15,32,0.469,21,25,0.84,S
LAC,2024-03-06,W,240,122,44,80,0.55,12,29,0.414,22,26,0.846,S
CLE,2024-03-06,L,240,101,39,89,0.438,10,44,0.227,13,17,0.765,S
WAS,2024-03-06,L,239,109,40,88,0.455,12,38,0.316,17,20,0.85,S
ATL,2024-03-06,W,241,112,43,84,0.512,11,30,0.367,15,20,0.75,S
POR,2024-03-06,L,240,120,41,81,0.506,14,34,0.412,24,27,0.889,S
UTA,2024-03-06,L,239,117,44,96,0.458,15,47,0.319,14,16,0.875,S
OKC,2024-03-06,W,240,128,43,74,0.581,9,22,0.409,33,39,0.846,S
MEM,2024-03-06,W,241,115,41,91,0.451,13,37,0.351,20,23,0.87,S
ORL,2024-03-06,W,240,119,44,81,0.543,12,26,0.462,19,21,0.905,S
PHI,2024-03-06,L,239,109,39,102,0.382,13,35,0.371,18,21,0.857,S
GSW,2024-03-06,W,240,125,51,91,0.56,19,39,0.487,4,7,0.571,S
SAC,2024-03-06,W,239,130,54,97,0.557,12,31,0.387,10,12,0.833,S
HOU,2024-03-06,L,242,116,45,94,0.479,16,37,0.432,10,17,0.588,S
MIL,2024-03-06,L,239,90,34,89,0.382,11,39,0.282,11,15,0.733,N
ATL,2024-03-05,W,239,116,44,87,0.506,10,31,0.323,18,23,0.783,S
PHX,2024-03-05,W,266,117,42,96,0.438,15,34,0.441,18,22,0.818,S
HOU,2024-03-05,W,239,114,49,105,0.467,9,34,0.265,7,11,0.636,S
CHA,2024-03-05,L,241,89,33,72,0.458,12,33,0.364,11,11,1.0,N
DEN,2024-03-05,L,265,107,41,96,0.427,15,40,0.375,10,14,0.714,S
BKN,2024-03-05,W,240,112,41,84,0.488,12,30,0.4,18,24,0.75,S
NOP,2024-03-05,W,239,139,53,105,0.505,24,49,0.49,9,11,0.818,S
TOR,2024-03-05,L,240,98,36,93,0.387,13,44,0.295,13,22,0.591,N
NYK,2024-03-05,L,241,100,38,99,0.384,16,52,0.308,8,11,0.727,N
BOS,2024-03-05,L,241,104,39,93,0.419,15,38,0.395,11,12,0.917,S
DET,2024-03-05,L,239,110,39,89,0.438,12,42,0.286,20,22,0.909,S
IND,2024-03-05,W,241,137,50,93,0.538,18,39,0.462,19,24,0.792,S
CLE,2024-03-05,W,239,105,39,90,0.433,20,42,0.476,7,11,0.636,S
ORL,2024-03-05,W,241,101,40,74,0.541,13,35,0.371,8,15,0.533,S
DAL,2024-03-05,L,241,120,45,93,0.484,13,39,0.333,17,21,0.81,S
MIA,2024-03-05,W,240,118,42,85,0.494,14,31,0.452,20,23,0.87,S
PHI,2024-03-05,L,240,107,40,82,0.488,12,28,0.429,15,19,0.789,S
SAS,2024-03-05,L,241,101,38,87,0.437,12,36,0.333,13,16,0.813,S
OKC,2024-03-04,L,239,104,37,94,0.394,15,39,0.385,15,16,0.938,S
MIN,2024-03-04,W,240,119,40,79,0.506,11,28,0.393,28,37,0.757,S
POR,2024-03-04,L,240,114,45,92,0.489,16,39,0.41,8,11,0.727,S
LAL,2024-03-04,W,240,116,41,80,0.513,16,34,0.471,18,25,0.72,S
LAC,2024-03-04,L,239,106,37,84,0.44,16,40,0.4,16,25,0.64,S
SAC,2024-03-04,L,241,109,41,92,0.446,11,37,0.297,16,18,0.889,S
BKN,2024-03-04,L,240,102,35,79,0.443,15,42,0.357,17,30,0.567,S
WAS,2024-03-04,L,240,115,40,94,0.426,16,38,0.421,19,23,0.826,S
MIL,2024-03-04,W,240,113,37,78,0.474,15,38,0.395,24,28,0.857,S
CHI,2024-03-04,W,241,113,42,84,0.5,11,32,0.344,18,22,0.818,S
