team_abbreviation,game_date,wl,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,over_100
CHI,2024-04-11,W,239,127,51,96,0.531,14,36,0.389,11,15,0.733,S
SAC,2024-04-11,L,240,123,46,84,0.548,16,38,0.421,15,20,0.75,S
POR,2024-04-11,L,241,92,35,97,0.361,8,34,0.235,14,17,0.824,N
GSW,2024-04-11,W,240,100,36,77,0.468,12,35,0.343,16,20,0.8,N
BOS,2024-04-11,L,242,109,40,86,0.465,16,42,0.381,13,16,0.813,S
NOP,2024-04-11,W,240,135,49,86,0.57,22,40,0.55,15,18,0.833,S
HOU,2024-04-11,L,239,121,40,95,0.421,21,47,0.447,20,22,0.909,S
DEN,2024-04-10,W,239,116,46,83,0.554,11,25,0.44,13,23,0.565,S
SAS,2024-04-10,L,241,89,32,96,0.333,9,40,0.225,16,20,0.8,N
OKC,2024-04-10,W,241,127,47,101,0.465,16,38,0.421,17,21,0.81,S
PHX,2024-04-10,W,238,124,46,95,0.484,18,50,0.36,14,15,0.933,S
BKN,2024-04-10,W,242,106,38,86,0.442,11,36,0.306,19,24,0.792,S
MEM,2024-04-10,L,240,98,33,84,0.393,14,32,0.438,18,19,0.947,N
MIA,2024-04-10,L,239,92,33,81,0.407,13,30,0.433,13,13,1.0,N
CLE,2024-04-10,W,243,110,37,82,0.451,15,37,0.405,21,29,0.724,S
LAC,2024-04-10,L,240,108,44,95,0.463,12,36,0.333,8,10,0.8,S
DAL,2024-04-10,W,241,111,43,87,0.494,15,44,0.341,10,13,0.769,S
TOR,2024-04-10,L,241,102,35,94,0.372,16,40,0.4,16,18,0.889,S
ORL,2024-04-10,L,239,99,36,78,0.462,11,30,0.367,16,23,0.696,N
MIN,2024-04-10,L,241,107,41,82,0.5,13,30,0.433,12,21,0.571,S
CHA,2024-04-10,W,241,115,40,79,0.506,14,36,0.389,21,22,0.955,S
ATL,2024-04-10,L,240,114,43,82,0.524,18,40,0.45,10,16,0.625,S
MIL,2024-04-10,W,241,117,43,84,0.512,15,40,0.375,16,20,0.8,S
UTA,2024-04-09,L,240,95,36,91,0.396,10,31,0.323,13,13,1.0,N
OKC,2024-04-09,W,239,112,39,80,0.488,11,30,0.367,23,31,0.742,S
PHI,2024-04-09,W,239,120,44,98,0.449,13,37,0.351,19,23,0.826,S
CHI,2024-04-09,L,241,117,47,88,0.534,10,28,0.357,13,19,0.684,S
TOR,2024-04-09,L,240,123,47,94,0.5,5,21,0.238,24,33,0.727,S
ORL,2024-04-09,L,243,106,39,86,0.453,7,24,0.292,21,23,0.913,S
ATL,2024-04-09,L,292,111,45,113,0.398,10,46,0.217,11,14,0.786,S
MIL,2024-04-09,W,239,104,43,81,0.531,17,36,0.472,1,2,0.5,S
HOU,2024-04-09,W,241,118,45,86,0.523,15,35,0.429,13,18,0.722,S
SAC,2024-04-09,L,241,105,33,96,0.344,20,58,0.345,19,26,0.731,S
WAS,2024-04-09,L,240,121,44,89,0.494,20,43,0.465,13,17,0.765,S
MIN,2024-04-09,W,239,130,43,90,0.478,18,41,0.439,26,32,0.813,S
BOS,2024-04-09,L,241,91,37,93,0.398,17,52,0.327,0,0,,N
MEM,2024-04-09,L,241,87,36,104,0.346,6,30,0.2,9,11,0.818,N
DAL,2024-04-09,W,240,130,50,93,0.538,17,50,0.34,13,20,0.65,S
DET,2024-04-09,L,240,102,34,84,0.405,14,30,0.467,20,24,0.833,S
PHX,2024-04-09,L,239,92,30,89,0.337,8,35,0.229,24,28,0.857,N
GSW,2024-04-09,W,241,134,47,80,0.588,26,41,0.634,14,21,0.667,S
IND,2024-04-09,W,240,140,54,99,0.545,16,45,0.356,16,23,0.696,S
NYK,2024-04-09,W,240,128,46,83,0.554,17,36,0.472,19,20,0.95,S
DEN,2024-04-09,W,239,111,46,94,0.489,14,37,0.378,5,11,0.455,S
CHA,2024-04-09,L,240,104,39,89,0.438,10,32,0.313,16,21,0.762,S
NOP,2024-04-09,W,240,110,36,87,0.414,11,36,0.306,27,29,0.931,S
SAS,2024-04-09,W,240,102,42,87,0.483,10,40,0.25,8,8,1.0,S
LAL,2024-04-09,L,241,120,44,96,0.458,12,35,0.343,20,24,0.833,S
POR,2024-04-09,L,240,100,40,85,0.471,13,38,0.342,7,8,0.875,N
LAC,2024-04-09,W,240,105,41,87,0.471,12,26,0.462,11,11,1.0,S
MIA,2024-04-09,W,291,117,42,88,0.477,18,45,0.4,15,21,0.714,S
PHI,2024-04-07,W,290,133,52,114,0.456,12,39,0.308,17,19,0.895,S
HOU,2024-04-07,L,264,136,46,93,0.495,17,41,0.415,27,35,0.771,S
BOS,2024-04-07,W,241,124,49,87,0.563,16,38,0.421,10,13,0.769,S
MIA,2024-04-07,L,240,115,39,84,0.464,8,27,0.296,29,32,0.906,S
IND,2024-04-07,W,241,117,44,86,0.512,9,32,0.281,20,21,0.952,S
NOP,2024-04-07,W,241,113,40,85,0.471,16,39,0.41,17,19,0.895,S
